sentence1,sentence2,similarity
"KOTA KINABALU - The chief of Parti Islam SeMalaysia (PAS) who enjoys close ties with Umno leaders has said that Islam doesn't have the swearing of an oath as carried out by ex-premier Najib Razak recently, to deny his involvement in the murder of a Mongolian woman.

PAS president Abdul Hadi Awang was quoted on Wednesday (Jan 1) by Free Malaysia Today (FMT) news site as saying there is only the ""li'an"" oath in Islam, which is sworn by a husband and his wife in cases of suspected adultery where legal proof is unavailable.

Datuk Seri Hadi was answering a question by a member of an audience who wanted to know about Najib's oath, at a talk in the Sabah capital on Tuesday (Dec 31), FMT said.

According to Mr Hadi, an influential ustaz (Islamic cleric) in his party, there are no other legal oaths in Islam, though there are no restrictions against anyone wanting to take whatever oath, FMT reported.

""But if the accused does not have any witnesses, it's best to keep quiet,"" he was quoted as saying.

Najib on Dec 20 swore an oath in a mosque in Kuala Lumpur to deny an accusation that he gave the order to kill Mongolian national Altantuya Shaariibuu.

The accusation was made by former police commando Azilah Hadri, who was convicted in 2009 of the murder, in a recent statutory declaration (SD).

Altantuya, 28, was shot and her body blown up with explosives in a gruesome murder in 2006.

Najib carried out the controversial oath inside Masjid Jamek in Kampung Baru after Friday prayers.

Mr Hadi - whose decision to get close to Najib, when the latter was Umno president, paved the way for close Umno-PAS ties today - warned against being too eager to take such oaths as it may incur Allah's displeasure, FMT said.

The solemn oath, called sumpah laknat in Malay, is rarely uttered by Muslims as it calls for divine retribution on the party who is lying.

Related Story Malaysia may reopen Mongolia murder case as Najib Razak vows innocence

Related Story Dozens to be questioned over claim Najib Razak gave Altantuya kill order: Malaysia police chief

Related Story Lurid tale of bribery and murder looms anew for Malaysia's Najib

Related Story Murdered Mongolian Altantuya Shaariibuu's family want justice in Malaysia lawsuit

This was the second time that Najib has sworn using the sumpah laknat in dealing with the murder of Altantuya.

Najib swore a similar oath in 2008 at the height of the controversy over Ms Altantuya's murder, in a mosque in Penang.

When Najib made the second oath on Dec 20, retired military general Mohamed Arshad Raji was quoted as saying Najib should stop ""making a mockery of the Islamic religious oath"".

Mr Arshad, chief of the National Patriot Association said, as quoted by Malaysiakini: ""An allegation of murder is a very serious matter. It is not a trivial matter such as a chicken or a goat has gone missing in a kampung where the matter can be settled with a sumpah (oath)"".",Two men are practicing football.,0.4680984
A man is doing a stunt on his bicycle.,"The United Nations (U.N) has said that the fight against AIDS in sub-Saharan Africa has stalled as more and more countries in the region shift their attention to controlling the spread of COVID-19.

The U.N says that countries in the region have diverted resources meant to fight AIDS in controlling the coronavirus pandemic.

As a result, AIDS virus-related illnesses could claim more than half a million people.

In a joint report, the World Health Organisation (WHO) and UNAIDS warned that interruptions to HIV/AIDS treatment could “set the clock back by more than a decade to 2008 when more than 950,000 AIDS deaths were observed in the region”.

In 2018, an estimated 470,000 people died from AIDS-related illnesses in sub-Saharan Africa, the report says.

Tedros Adhanom Ghebreyesus, the Director-General of WHO says; “The terrible prospect of half a million more people in Africa dying of Aids-related illnesses is like stepping back into history.”

We must read this as a wake-up call to countries to identify ways to sustain all vital health services, he added

Ghebreyesus says that there is need to ensure that global supplies of tests and treatments for both HIV and Tuberculosis reach the countries and communities that need them most.

“We should save people from Covid-19 and HIV and other life-threatening diseases.”

A six-month disruption in treatment services could lead to an excess of 471,000 to 673,000 AIDS-related deaths in one year, the report says, making it inevitable that the world would miss the global 2020 target of fewer than 500,000 fatalities from the disease worldwide.

According to WHO statistics, an estimated 25.7 million people in Sub- Saharan Africa were living with HIV in 2018, with 16.4 million (64 per cent) receiving antiretroviral therapy.

These people now risk having their treatment interrupted, the agencies warned, “because HIV services are closed or are unable to supply antiretroviral therapy because of disruptions to the supply chain, or because services simply become overwhelmed”.

The report also highlighted that disrupted services could reverse gains made in stemming mother-to-child transmission of HIV

Since 2010, new HIV infections among children in Sub-Saharan Africa have declined by 43 per cent (from 250,000 in 2010 to 140,000 in 2018), thanks to the high coverage of HIV services for mothers and their children in the region

Every death is a tragedy, the Executive Director of UNAIDS, Winnie Byanyima, observed.

“We cannot sit by and allow hundreds of thousands of people, many of them young, to die needless deaths.”

If HIV health services were stopped by COVID-19, the study indicates that several countries could see a drastic rise in new infections among children.

Byanyima says that the pandemic must not be an excuse to divert investment from HIV.

“There is a risk that the hard-earned gains of the Aids response will be sacrificed to the fight against Covid-19, but the right to health means that no one disease should be fought at the expense of the other.”

eashimwe@newtimesrwanda.com",0.46869782
"Local budget carrier Scoot will suspend all flights between Singapore and mainland China from Feb 8, amid the growing severity of the Wuhan virus outbreak.

Scoot had said early on Friday (Jan 31) that it would suspend flights to 11 cities and reduce flights to eight other cities, but had stepped up its precautionary measures in line with those announced by the Government later in the day.

Measures that the authorities announced to limit the spread of the Wuhan virus include the barring of all travellers arriving from mainland China who had been there in the past 14 days from entry or transit in Singapore.

Scoot currently operates 100 weekly flights to 18 points in China, excluding Wuhan.

It said that before Feb 8, some flights to China, such as those to Guangzhou and Qingdao, will be operating on reduced frequencies before the suspension kicks in till late March.

Between Feb 2 and Feb 7, the flights operating to and from China will have limited in-flight services with no sales of food and beverage items.

All customers will be provided with a food pack, including water.

Customers booked on flights affected by the schedule change will receive a refund, said Scoot.

The operator added: ""Scoot will continue to closely monitor the coronavirus situation as the health and safety of our passengers and employees are our highest priority.

""For now, Scoot flights between Singapore and all mainland China destinations after the above-stated suspension period will continue to operate as scheduled.""

Scoot is a member of the Singapore Airlines Group, which also includes Singapore Airlines and SilkAir.

The two latter carriers also announced earlier on Friday that it will reduce the number of flights to mainland China in February, subject to regulatory approvals.

In a Facebook post on Friday, SIA said that the airline as well as SilkAir would be cancelling some flights between Singapore and cities including Beijing, Shanghai, Guangzhou, Shenzhen, Xiamen, Chengdu and Chongqing.

[Travel Advisory] SINGAPORE AIRLINES AND SILKAIR FLIGHTS TO MAINLAND CHINA Singapore Airlines and SilkAir will further... Posted by Singapore Airlines on Thursday, 30 January 2020

Affected customers will be notified and rebooked on other flights, SIA said.

SIA currently operates 56 weekly flights to Beijing, Guangzhou and Shanghai, while SilkAir operates 36 weekly flights to Chengdu, Chongqing, Shenzhen and Xiamen.

For the latest updates on the Wuhan virus, visit here.

This article was first published in The Straits Times. Permission required for reproduction.",A young girl is looking at a woman in costume,0.46929657
the man and woman sitting on a bench are kissing .,"By Express News Service

Electric Vehicle (EV) maker Tesla has announced that it has produced its one millionth electric car, thus becoming the first auto manufacturer to reach the milestone. It is a significant moment for the company that was founded only in 2003. CEO Elon Musk made the announcement by sharing a picture of the car — a red Model Y — on Twitter. The firm released its first consumer car, the Roadster, back in 2008, meaning it’s taken a little over 12 years to hit this million-car milestone.

In its January earnings report, the company said it hopes to ship over 5,00,000 cars worldwide in 2020. Established automakers like Toyota or the Volkswagen Group each produce over ten million vehicles every year. Nevertheless, Tesla’s milestone is a tremendous accomplishment for an auto start-up that only produces electric vehicles and is indicative of how Musk says he works — building companies to solve problems based on their importance, not on his likelihood of success.

Furthermore, the EV maker is also expected to start shipping its latest car, the Model Y, months ahead of its original “fall 2020” estimate. The Model Y will be Tesla’s fourth electric car line, following the Model S, Model X, and the cheaper Model 3, which made up most of its production and deliveries in Tesla’s fourth-quarter earnings report.

The company said it produced 17,933 Model S and X vehicles in the quarter and delivered 19,450. It produced 86,958 Model 3 vehicles and delivered 92,550. It delivered 367,500 vehicles for the full year. It’s also developing new facilities in Berlin to manufacture Model 3 and Model Y electric cars, which should start rolling out in 2021. Tesla says its Model 3 and Model Y production capacity in Fremont is 4,00,000 units per year, while its Shanghai factory can produce 1,50,000 Model 3 cars per year. Meanwhile, Tesla’s Cybertruck is due to go into production in late 2021.",0.4699542
"KOTA KINABALU - The chief of Parti Islam SeMalaysia (PAS) who enjoys close ties with Umno leaders has said that Islam doesn't have the swearing of an oath as carried out by ex-premier Najib Razak recently, to deny his involvement in the murder of a Mongolian woman.

PAS president Abdul Hadi Awang was quoted on Wednesday (Jan 1) by Free Malaysia Today (FMT) news site as saying there is only the ""li'an"" oath in Islam, which is sworn by a husband and his wife in cases of suspected adultery where legal proof is unavailable.

Datuk Seri Hadi was answering a question by a member of an audience who wanted to know about Najib's oath, at a talk in the Sabah capital on Tuesday (Dec 31), FMT said.

According to Mr Hadi, an influential ustaz (Islamic cleric) in his party, there are no other legal oaths in Islam, though there are no restrictions against anyone wanting to take whatever oath, FMT reported.

""But if the accused does not have any witnesses, it's best to keep quiet,"" he was quoted as saying.

Najib on Dec 20 swore an oath in a mosque in Kuala Lumpur to deny an accusation that he gave the order to kill Mongolian national Altantuya Shaariibuu.

The accusation was made by former police commando Azilah Hadri, who was convicted in 2009 of the murder, in a recent statutory declaration (SD).

Altantuya, 28, was shot and her body blown up with explosives in a gruesome murder in 2006.

Najib carried out the controversial oath inside Masjid Jamek in Kampung Baru after Friday prayers.

Mr Hadi - whose decision to get close to Najib, when the latter was Umno president, paved the way for close Umno-PAS ties today - warned against being too eager to take such oaths as it may incur Allah's displeasure, FMT said.

The solemn oath, called sumpah laknat in Malay, is rarely uttered by Muslims as it calls for divine retribution on the party who is lying.

Related Story Malaysia may reopen Mongolia murder case as Najib Razak vows innocence

Related Story Dozens to be questioned over claim Najib Razak gave Altantuya kill order: Malaysia police chief

Related Story Lurid tale of bribery and murder looms anew for Malaysia's Najib

Related Story Murdered Mongolian Altantuya Shaariibuu's family want justice in Malaysia lawsuit

This was the second time that Najib has sworn using the sumpah laknat in dealing with the murder of Altantuya.

Najib swore a similar oath in 2008 at the height of the controversy over Ms Altantuya's murder, in a mosque in Penang.

When Najib made the second oath on Dec 20, retired military general Mohamed Arshad Raji was quoted as saying Najib should stop ""making a mockery of the Islamic religious oath"".

Mr Arshad, chief of the National Patriot Association said, as quoted by Malaysiakini: ""An allegation of murder is a very serious matter. It is not a trivial matter such as a chicken or a goat has gone missing in a kampung where the matter can be settled with a sumpah (oath)"".",a group of people are standing beside a fire truck .,0.47051957
"The Department of Foreign Affairs assisted 1,723 Irish citizens caught up in major incidents overseas last year.

These incidents included terrorist attacks in Sri Lanka and Kenya, protests in Hong Kong and political instability in South America.

Medical emergencies were the most common cause of contact, with 270 people requiring assistance for that.

Over 260 families required the support of the Department following the death of a loved one abroad, while 243 people needed help with overseas arrests.

Some 112 people were victims of crime in another country, while72 families required help tracing a missing person.

The Department assisted these people through its consular office in Dublin, in its 80 embassies and consulates-general, and in the 94 honorary consuls around the world.

One of the most notable cases in which the Department provided assistance was that of teenager Nora Quoirin, whose body was found in a Malaysian rainforest after a 10-day search.

In April 2019 a series of terrorist attacks on churches and luxury hotels in Sri Lanka left 259 people dead, many of them tourists.

The Department of Foreign Affairs advised people to stay indoors and obey the curfew that was in place at the time, saying they could contact the Honorary Consul in Colombo for assistance if needed.

Commenting on the figures, Minister Simon Coveney said:

“Irish citizens continue to travel more often and more widely than ever before - meaning a greater frequency and complexity of consular cases. This presents ever-growing challenges in providing assistance for Irish citizens who get into difficulty overseas.

“While most journeys overseas go smoothly, the 2019 statistics show that things can and do go wrong and that it is important to be prepared. As people consider travel plans for the year ahead, I urge them to get comprehensive travel insurance.”",A man is sitting in the woods,0.4711002
A musician is smearing jam on his white guitar at a concert.,"The United Nations (U.N) has said that the fight against AIDS in sub-Saharan Africa has stalled as more and more countries in the region shift their attention to controlling the spread of COVID-19.

The U.N says that countries in the region have diverted resources meant to fight AIDS in controlling the coronavirus pandemic.

As a result, AIDS virus-related illnesses could claim more than half a million people.

In a joint report, the World Health Organisation (WHO) and UNAIDS warned that interruptions to HIV/AIDS treatment could “set the clock back by more than a decade to 2008 when more than 950,000 AIDS deaths were observed in the region”.

In 2018, an estimated 470,000 people died from AIDS-related illnesses in sub-Saharan Africa, the report says.

Tedros Adhanom Ghebreyesus, the Director-General of WHO says; “The terrible prospect of half a million more people in Africa dying of Aids-related illnesses is like stepping back into history.”

We must read this as a wake-up call to countries to identify ways to sustain all vital health services, he added

Ghebreyesus says that there is need to ensure that global supplies of tests and treatments for both HIV and Tuberculosis reach the countries and communities that need them most.

“We should save people from Covid-19 and HIV and other life-threatening diseases.”

A six-month disruption in treatment services could lead to an excess of 471,000 to 673,000 AIDS-related deaths in one year, the report says, making it inevitable that the world would miss the global 2020 target of fewer than 500,000 fatalities from the disease worldwide.

According to WHO statistics, an estimated 25.7 million people in Sub- Saharan Africa were living with HIV in 2018, with 16.4 million (64 per cent) receiving antiretroviral therapy.

These people now risk having their treatment interrupted, the agencies warned, “because HIV services are closed or are unable to supply antiretroviral therapy because of disruptions to the supply chain, or because services simply become overwhelmed”.

The report also highlighted that disrupted services could reverse gains made in stemming mother-to-child transmission of HIV

Since 2010, new HIV infections among children in Sub-Saharan Africa have declined by 43 per cent (from 250,000 in 2010 to 140,000 in 2018), thanks to the high coverage of HIV services for mothers and their children in the region

Every death is a tragedy, the Executive Director of UNAIDS, Winnie Byanyima, observed.

“We cannot sit by and allow hundreds of thousands of people, many of them young, to die needless deaths.”

If HIV health services were stopped by COVID-19, the study indicates that several countries could see a drastic rise in new infections among children.

Byanyima says that the pandemic must not be an excuse to divert investment from HIV.

“There is a risk that the hard-earned gains of the Aids response will be sacrificed to the fight against Covid-19, but the right to health means that no one disease should be fought at the expense of the other.”

eashimwe@newtimesrwanda.com",0.4717109
a woman is slicing fish .,"The United Nations (U.N) has said that the fight against AIDS in sub-Saharan Africa has stalled as more and more countries in the region shift their attention to controlling the spread of COVID-19.

The U.N says that countries in the region have diverted resources meant to fight AIDS in controlling the coronavirus pandemic.

As a result, AIDS virus-related illnesses could claim more than half a million people.

In a joint report, the World Health Organisation (WHO) and UNAIDS warned that interruptions to HIV/AIDS treatment could “set the clock back by more than a decade to 2008 when more than 950,000 AIDS deaths were observed in the region”.

In 2018, an estimated 470,000 people died from AIDS-related illnesses in sub-Saharan Africa, the report says.

Tedros Adhanom Ghebreyesus, the Director-General of WHO says; “The terrible prospect of half a million more people in Africa dying of Aids-related illnesses is like stepping back into history.”

We must read this as a wake-up call to countries to identify ways to sustain all vital health services, he added

Ghebreyesus says that there is need to ensure that global supplies of tests and treatments for both HIV and Tuberculosis reach the countries and communities that need them most.

“We should save people from Covid-19 and HIV and other life-threatening diseases.”

A six-month disruption in treatment services could lead to an excess of 471,000 to 673,000 AIDS-related deaths in one year, the report says, making it inevitable that the world would miss the global 2020 target of fewer than 500,000 fatalities from the disease worldwide.

According to WHO statistics, an estimated 25.7 million people in Sub- Saharan Africa were living with HIV in 2018, with 16.4 million (64 per cent) receiving antiretroviral therapy.

These people now risk having their treatment interrupted, the agencies warned, “because HIV services are closed or are unable to supply antiretroviral therapy because of disruptions to the supply chain, or because services simply become overwhelmed”.

The report also highlighted that disrupted services could reverse gains made in stemming mother-to-child transmission of HIV

Since 2010, new HIV infections among children in Sub-Saharan Africa have declined by 43 per cent (from 250,000 in 2010 to 140,000 in 2018), thanks to the high coverage of HIV services for mothers and their children in the region

Every death is a tragedy, the Executive Director of UNAIDS, Winnie Byanyima, observed.

“We cannot sit by and allow hundreds of thousands of people, many of them young, to die needless deaths.”

If HIV health services were stopped by COVID-19, the study indicates that several countries could see a drastic rise in new infections among children.

Byanyima says that the pandemic must not be an excuse to divert investment from HIV.

“There is a risk that the hard-earned gains of the Aids response will be sacrificed to the fight against Covid-19, but the right to health means that no one disease should be fought at the expense of the other.”

eashimwe@newtimesrwanda.com",0.4722972
A man is playing drums.,"By Jonah DeChants

Ben Carson, secretary of the Department of Housing and Urban Development, made news earlier this year for his statements about transgender people.

In a September meeting with HUD staff, Carson remarked that he was concerned about ""big, hairy men"" trying to use women's shelters. It is reported that his comments upset the HUD staff in attendance, causing one women to leave the room in protest.

Carson later doubled down on his comments in a congressional hearing, declining to apologize and saying ""I think this whole concept of political correctness – you can say this, you can't say that, you can't repeat what someone said – is total foolishness.""

While his comments demonstrate a lack of understanding of the needs of transgender people, his agency's moves to remove protections represent a real threat for transgender Americans who need shelter.

As my research shows, transgender people experience high rates of discrimination in housing and shelter services, exacerbating their already elevated rates of homelessness.

Disproportionate Risk of Homelessness

According to the 2017 U.S. Trans Survey, a survey of more than 27,000 transgender people across the U.S. conducted by the nonprofit National Center for Transgender Equality, 30% have experienced homelessness at some point in their lives. Twelve percent report at least one episode of homelessness in the last year.

Once they become homeless, transgender people are also likely to experience discrimination and harassment when seeking shelter services. A study by the Center for American Progress found that 21% of shelters refuse to serve transgender women.

While in a shelter, 70% of U.S. Trans Survey respondents reported harassment, sexual or physical assault due to their transgender identity.

This discrimination makes transgender people hesitant to seek shelter – more than a quarter of respondents reported avoiding staying in shelter due to fear or mistreatment.

Best Practices

There is a small but growing body of literature on the experiences and needs of transgender people living in homeless shelters.

Organizations that work on LGBTQ housing access, such as the National Center for Transgender Equality and True Colors United, recommend that shelters respect clients’ self-identified gender as best practice for housing transgender clients.

In practice, this can include housing clients in the dorm of their self-identified gender; offering private living and bathing spaces; training shelter staff about transgender identities; and adopting inclusive language in administrative paperwork, such as intake forms.

Recognizing both the high levels of need and the unique challenges faced by transgender people experiencing homelessness, the National Coalition for the Homeless adopted a nondiscrimination policy in 2003, which protects people on the basis of gender identity and expression.

In 2016, HUD implemented new regulations to protect transgender people from discrimination in housing services. The Gender Identity Rule clarified policies for single-gender shelter facilities with shared sleeping or living spaces.

It required all HUD funding recipients to respect the gender identity of transgender clients, housing them in facilities that align with their gender identity rather than their birth sex. It also removed a previous prohibition against asking about clients' gender identity, allowing providers to ask about gender identity and house clients accordingly.

The rule included extensive guidance of how to safely house transgender clients, including information about bathroom facilities and how to deal with concerns or harassment from other clients.

Weakened Regulations

While the Gender Identity Rule provided important protections, I also see significant weaknesses.

The nondiscrimination protections apply only to organizations which receive federal funding. Some shelters are run and funded by private, and often religious, organizations, and therefore do not have to follow this rule.

Enforcement mechanisms are also weak. Individuals who have experienced discrimination may submit a complaint to HUD's Office of Fair Housing and Equal Opportunity. However, people experiencing homelessness may not be aware of their rights or have the capacity to submit a complaint while struggling to meet their basic needs.

What's more, the protections that this rule offers may soon be undone.

In May, HUD proposed a new rule that would give housing providers who get federal funding the right to establish their own policies regarding how to house transgender clients. The proposed rule states that organizations may use a client's sex to make decisions about where and how to house them, without providing any guidance about how to determine an individual's sex.

The proposed rule is now working its way through the regulatory process, with advocacy groups meeting with HUD to discuss its potential impact. It is also supposed to go through a period of public comment.

HUD has also scaled back enforcement of the Fair Housing Act, which protects against discrimination in housing based on race, religion, sex, ability, and other protected classes, by freezing investigations into discriminatory practices. This freeze includes investigations into discrimination against parolees and former inmates, people with disabilities and racial or ethnic minorities.

The administration's decision to halt these investigations implies that they do not consider nondiscrimination protections to be a priority. That can further endanger transgender people experiencing discrimination in shelters and housing services.

This article was written by Jonah DeChants, postdoctoral fellow at Colorado State University for The Conversation. It was originally published on Dec. 16 and has been republished with permission.",0.4728933
A woman peels garlic with her hands.,"The United Nations (U.N) has said that the fight against AIDS in sub-Saharan Africa has stalled as more and more countries in the region shift their attention to controlling the spread of COVID-19.

The U.N says that countries in the region have diverted resources meant to fight AIDS in controlling the coronavirus pandemic.

As a result, AIDS virus-related illnesses could claim more than half a million people.

In a joint report, the World Health Organisation (WHO) and UNAIDS warned that interruptions to HIV/AIDS treatment could “set the clock back by more than a decade to 2008 when more than 950,000 AIDS deaths were observed in the region”.

In 2018, an estimated 470,000 people died from AIDS-related illnesses in sub-Saharan Africa, the report says.

Tedros Adhanom Ghebreyesus, the Director-General of WHO says; “The terrible prospect of half a million more people in Africa dying of Aids-related illnesses is like stepping back into history.”

We must read this as a wake-up call to countries to identify ways to sustain all vital health services, he added

Ghebreyesus says that there is need to ensure that global supplies of tests and treatments for both HIV and Tuberculosis reach the countries and communities that need them most.

“We should save people from Covid-19 and HIV and other life-threatening diseases.”

A six-month disruption in treatment services could lead to an excess of 471,000 to 673,000 AIDS-related deaths in one year, the report says, making it inevitable that the world would miss the global 2020 target of fewer than 500,000 fatalities from the disease worldwide.

According to WHO statistics, an estimated 25.7 million people in Sub- Saharan Africa were living with HIV in 2018, with 16.4 million (64 per cent) receiving antiretroviral therapy.

These people now risk having their treatment interrupted, the agencies warned, “because HIV services are closed or are unable to supply antiretroviral therapy because of disruptions to the supply chain, or because services simply become overwhelmed”.

The report also highlighted that disrupted services could reverse gains made in stemming mother-to-child transmission of HIV

Since 2010, new HIV infections among children in Sub-Saharan Africa have declined by 43 per cent (from 250,000 in 2010 to 140,000 in 2018), thanks to the high coverage of HIV services for mothers and their children in the region

Every death is a tragedy, the Executive Director of UNAIDS, Winnie Byanyima, observed.

“We cannot sit by and allow hundreds of thousands of people, many of them young, to die needless deaths.”

If HIV health services were stopped by COVID-19, the study indicates that several countries could see a drastic rise in new infections among children.

Byanyima says that the pandemic must not be an excuse to divert investment from HIV.

“There is a risk that the hard-earned gains of the Aids response will be sacrificed to the fight against Covid-19, but the right to health means that no one disease should be fought at the expense of the other.”

eashimwe@newtimesrwanda.com",0.47348863
a man is carving a statue .,two girls are jumping high in the air .,0.4741203
"The Department of Foreign Affairs assisted 1,723 Irish citizens caught up in major incidents overseas last year.

These incidents included terrorist attacks in Sri Lanka and Kenya, protests in Hong Kong and political instability in South America.

Medical emergencies were the most common cause of contact, with 270 people requiring assistance for that.

Over 260 families required the support of the Department following the death of a loved one abroad, while 243 people needed help with overseas arrests.

Some 112 people were victims of crime in another country, while72 families required help tracing a missing person.

The Department assisted these people through its consular office in Dublin, in its 80 embassies and consulates-general, and in the 94 honorary consuls around the world.

One of the most notable cases in which the Department provided assistance was that of teenager Nora Quoirin, whose body was found in a Malaysian rainforest after a 10-day search.

In April 2019 a series of terrorist attacks on churches and luxury hotels in Sri Lanka left 259 people dead, many of them tourists.

The Department of Foreign Affairs advised people to stay indoors and obey the curfew that was in place at the time, saying they could contact the Honorary Consul in Colombo for assistance if needed.

Commenting on the figures, Minister Simon Coveney said:

“Irish citizens continue to travel more often and more widely than ever before - meaning a greater frequency and complexity of consular cases. This presents ever-growing challenges in providing assistance for Irish citizens who get into difficulty overseas.

“While most journeys overseas go smoothly, the 2019 statistics show that things can and do go wrong and that it is important to be prepared. As people consider travel plans for the year ahead, I urge them to get comprehensive travel insurance.”",a dog splashing in the water .,0.4747113
"Google last week said that this summer Chrome will remove resource-hogging web advertisements from websites, including ads that mask unauthorized crypto-mining operations.

Arguing that a very small number of online ads - three-tenths of a percentage point of all on the web - disproportionately account for major portions of total network and CPU consumption, Google plans to scrub sites of such ads starting with a Stable build of Chrome near the end of August.

Chrome 85 is scheduled to release on Aug. 25, and would be the most likely version to debut the feature.

""These ads (such as those that mine cryptocurrency, are poorly programmed, or are unoptimized for network usage) can drain battery life, saturate already strained networks, and cost money,"" Marshall Vale, a Chrome product manager, wrote in a May 14 post to the Chromium blog.

When Chrome detects one of the über-aggressive ads, the browser will unload the content from the ad's frame - the portion of the page in which it's displayed - and refill the space with an error message stating ""Ad removed,"" along with a link to more information.

After copious measurements, Google decided to strip out any ad that consumed 4MB of network data, used the CPU during half of any 30-second span or tallied a total of 60 seconds of CPU usage. Those bars were so high that they affected only 0.3% of all ads, but, Google contended, such ads accounted for 27% of all ad-generated network traffic and 28% of all ad-related CPU usage.

Other browsers have addressed bad actors, including crypto-miners, using different approaches. Mozilla's Firefox, for example, blocks crypto-miners by targeting domains known to harbor such scripts. (Mozilla relies on domain lists produced by Disconnect.) It's not surprising that Google took a metrics-based route here; it typically bases decisions, or says it does, on data collected by Chrome and/or its search engine.

Chrome users can try out this ""Heavy Ad"" detection and removal prior to version 85 via the chrome://flags option page. Set the Heavy Ad Intervention flag (which also goes by #enable-heavy-ad-intervention) to Enabled and relaunch the browser.

Site developers and ad content creators should use the time between now and late August to test and, if necessary, alter first-party advertisements, Google said. ""Our intent with this extended rollout is to give appropriate time for ad creators and tool providers to prepare and incorporate these thresholds into their workflows,"" said Vale.

Detailed instructions on how to track removed ads using an API as well as how to test the resource usage of ad content were provided in this support document.",a person is riding a horse .,0.4753032
two women in a clothing store .,The young boy is running through the ocean waves,0.4758511
a man wearing a white suit holding a newspaper walking through the streets .,Two women are sitting in a cafe.,0.4764235
a guy is sitting on his bike with one wheel in the air .,"The United Nations (U.N) has said that the fight against AIDS in sub-Saharan Africa has stalled as more and more countries in the region shift their attention to controlling the spread of COVID-19.

The U.N says that countries in the region have diverted resources meant to fight AIDS in controlling the coronavirus pandemic.

As a result, AIDS virus-related illnesses could claim more than half a million people.

In a joint report, the World Health Organisation (WHO) and UNAIDS warned that interruptions to HIV/AIDS treatment could “set the clock back by more than a decade to 2008 when more than 950,000 AIDS deaths were observed in the region”.

In 2018, an estimated 470,000 people died from AIDS-related illnesses in sub-Saharan Africa, the report says.

Tedros Adhanom Ghebreyesus, the Director-General of WHO says; “The terrible prospect of half a million more people in Africa dying of Aids-related illnesses is like stepping back into history.”

We must read this as a wake-up call to countries to identify ways to sustain all vital health services, he added

Ghebreyesus says that there is need to ensure that global supplies of tests and treatments for both HIV and Tuberculosis reach the countries and communities that need them most.

“We should save people from Covid-19 and HIV and other life-threatening diseases.”

A six-month disruption in treatment services could lead to an excess of 471,000 to 673,000 AIDS-related deaths in one year, the report says, making it inevitable that the world would miss the global 2020 target of fewer than 500,000 fatalities from the disease worldwide.

According to WHO statistics, an estimated 25.7 million people in Sub- Saharan Africa were living with HIV in 2018, with 16.4 million (64 per cent) receiving antiretroviral therapy.

These people now risk having their treatment interrupted, the agencies warned, “because HIV services are closed or are unable to supply antiretroviral therapy because of disruptions to the supply chain, or because services simply become overwhelmed”.

The report also highlighted that disrupted services could reverse gains made in stemming mother-to-child transmission of HIV

Since 2010, new HIV infections among children in Sub-Saharan Africa have declined by 43 per cent (from 250,000 in 2010 to 140,000 in 2018), thanks to the high coverage of HIV services for mothers and their children in the region

Every death is a tragedy, the Executive Director of UNAIDS, Winnie Byanyima, observed.

“We cannot sit by and allow hundreds of thousands of people, many of them young, to die needless deaths.”

If HIV health services were stopped by COVID-19, the study indicates that several countries could see a drastic rise in new infections among children.

Byanyima says that the pandemic must not be an excuse to divert investment from HIV.

“There is a risk that the hard-earned gains of the Aids response will be sacrificed to the fight against Covid-19, but the right to health means that no one disease should be fought at the expense of the other.”

eashimwe@newtimesrwanda.com",0.47708717
a woman plays with a brown dog .,"By Express News Service

Electric Vehicle (EV) maker Tesla has announced that it has produced its one millionth electric car, thus becoming the first auto manufacturer to reach the milestone. It is a significant moment for the company that was founded only in 2003. CEO Elon Musk made the announcement by sharing a picture of the car — a red Model Y — on Twitter. The firm released its first consumer car, the Roadster, back in 2008, meaning it’s taken a little over 12 years to hit this million-car milestone.

In its January earnings report, the company said it hopes to ship over 5,00,000 cars worldwide in 2020. Established automakers like Toyota or the Volkswagen Group each produce over ten million vehicles every year. Nevertheless, Tesla’s milestone is a tremendous accomplishment for an auto start-up that only produces electric vehicles and is indicative of how Musk says he works — building companies to solve problems based on their importance, not on his likelihood of success.

Furthermore, the EV maker is also expected to start shipping its latest car, the Model Y, months ahead of its original “fall 2020” estimate. The Model Y will be Tesla’s fourth electric car line, following the Model S, Model X, and the cheaper Model 3, which made up most of its production and deliveries in Tesla’s fourth-quarter earnings report.

The company said it produced 17,933 Model S and X vehicles in the quarter and delivered 19,450. It produced 86,958 Model 3 vehicles and delivered 92,550. It delivered 367,500 vehicles for the full year. It’s also developing new facilities in Berlin to manufacture Model 3 and Model Y electric cars, which should start rolling out in 2021. Tesla says its Model 3 and Model Y production capacity in Fremont is 4,00,000 units per year, while its Shanghai factory can produce 1,50,000 Model 3 cars per year. Meanwhile, Tesla’s Cybertruck is due to go into production in late 2021.",0.47768658
